model,seed,Recall@10,NDCG@10,MRR,gender_recall_gap,age_band_recall_gap,disability_recall_gap,imd_binary_recall_gap,gender_SPD,gender_EOD,gender_AOD,age_band_SPD,age_band_EOD,age_band_AOD,disability_SPD,disability_EOD,disability_AOD,imd_SPD,imd_EOD,imd_AOD,run_time_sec
sasrec_fair_lam0.1,3,0.03268314731754807,0.018527003254141725,0.014281450906568254,0.0022950545029703853,0.02518961655643468,0.0029692179583825154,0.01154751652201486,0.0012388284705176014,0.0022950545029703853,0.0017581021061995536,0.0068135505967178225,-0.007688204328926532,-0.00035975160601923496,-0.003253090887612206,0.0029692179583825154,-0.00017555147160430717,-0.0029572521686812916,0.009492711899408389,0.0032011164674431367,440.0964603424072
sasrec_fair_lam0.5,3,0.029414832585793263,0.016056516790344148,0.012036181601739127,0.004080253649145625,0.026462986029484863,0.004988566098972913,0.013987818309016894,0.0014557748054982445,0.004080253649145625,0.0027504620895594176,0.00678966658014514,-0.006489324923251324,0.00022147693897122019,-0.0034692894024850943,0.004988566098972913,0.0007142052310851431,-0.003072054299596512,0.009244001829550864,0.003019875768626964,578.5482423305511
sasrec_fair_lam1.0,3,0.029101908834880567,0.015715660791223662,0.011670110483607927,0.005346809362680803,0.03042051893826424,0.0025393549333092985,0.014890785768324678,0.0014741671237825868,0.005346809362680803,0.0033863529020683146,0.006808996442890201,-0.004387891378389196,0.0012709033483711881,-0.0034163941570079723,0.0025393549333092985,-0.00047096138222227704,-0.0029429711674692147,0.007612821989200422,0.002278052116694733,330.65760707855225
sasrec_fair_lam2.0,3,0.021661277424289836,0.010478227165454051,0.007108418973444529,0.0018060083692461454,0.008258627041630849,0.002804843047509182,0.009228046519467386,0.0010475504034408792,0.0018060083692461454,0.0014177878747003748,0.006941337392275926,-0.004336718118394773,0.001363484557768425,-0.003744390587622236,-0.002804843047509182,-0.003281409013460494,-0.002940312471922883,0.00563599328360263,0.0013009130554630325,240.76213335990906
sasrec_rerank_a0.1,3,0.04081916484127812,0.02245832941974955,0.016912190394510203,0.0014871687479563675,0.008881423132927488,0.0035503203422352844,0.02032917810528066,0.0011038502321030555,0.0014871687479563675,0.0012914667891200347,0.006975185683089198,-0.007906475708626286,-0.0003865078551222624,-0.003449346566124535,0.0035503203422352844,1.3313623702305988e-05,-0.002785201321696615,0.012366279451954246,0.004710243433477472,388.9591634273529
sasrec_rerank_a0.3,3,0.039845624282883074,0.02195258243633622,0.016568829703804147,0.0011226399497404407,0.008341365396701238,0.0034295871229377967,0.018986175150674158,0.0012560914667373926,0.0011226399497404407,0.0011878771599661865,0.007077116904299775,-0.008334167529935065,-0.0005465451511335699,-0.0033868507778444107,0.0034295871229377967,-1.4909037919272339e-05,-0.002863432477800111,0.011647204121743311,0.004314895876345062,389.9098002910614
sasrec_rerank_a0.5,3,0.038037620388720834,0.021082217567729277,0.015983049687545357,0.0005664194101849124,0.015951474535534468,0.005030999764087704,0.017859630408665412,0.0012250639998537469,0.0005664194101849124,0.000896713600231705,0.0071246348991163624,-0.008065119715925266,-0.0003893306897695681,-0.0033598576390459975,0.005030999764087704,0.0007909975803405619,-0.0029238108698203813,0.011125368603092163,0.004026099556535455,383.4065272808075
sasrec_rerank_a0.7,3,0.03602100066061681,0.01977358821339223,0.014875716289088564,0.0013711602684918778,0.023369473050180407,0.0052658428851893035,0.016665935518926336,0.0012778516824234337,0.0013711602684918778,0.0013212277508756719,0.007126399652458704,-0.006836202331271531,0.00021965181481358245,-0.0033862692539474437,0.0052658428851893035,0.0008937348375916733,-0.0030447050420049776,0.010926337701957917,0.003866424415492911,365.3923223018646
sasrec_rerank_a1.0,3,0.032509300789263236,0.017541155706419537,0.01304017289727105,0.002184674506864763,0.024493722332356742,0.00755452538514869,0.017128867482935396,0.0013988963870029889,0.002184674506864763,0.0017843432975374884,0.007034609906072083,-0.005951005002453588,0.0006113931827606278,-0.003584608420568111,0.00755452538514869,0.0019257681567312612,-0.003043079103736121,0.011234405108765642,0.004019456377230073,362.8810987472534
llm,3,0.026,0.013417947020931255,0.009788095238095238,0.015345887592583627,0.03409090909090909,0.005213470480484712,0.031007751937984496,0.0025885650350036815,-0.015345887592583627,-0.006290217257439933,0.00395432320820905,-0.02733415233415233,-0.011526881051574102,-0.011362960904403321,-0.005213470480484712,-0.008322147786147066,0.000700375639457837,0.00898132021992282,0.004797804305364766,794.388738155365
popularity,4,0.032648378011891105,0.017648237851641626,0.013149144316349906,0.002639288430380582,0.024394308871774177,0.007799976922528984,0.013860637083659467,0.0014504561061153207,0.002639288430380582,0.002035334380417836,0.006711211731657375,-0.005157388140274357,0.0008406108722240641,-0.003134389400032987,0.007799976922528984,0.0022746731923445514,-0.0027100111030834706,0.010285567551037572,0.003718302211146947,8.299394845962524
cf,4,0.04179270539967317,0.02358444733224332,0.01811427015088223,0.0008251826869027576,0.029533107606299302,0.0052684811038973545,0.020097712123276126,0.0016325771193438504,-0.0008251826869027576,0.00041468181984451527,0.006438510067581699,-0.00814041307621375,-0.0007734661104957033,-0.0032808469391189463,0.0052684811038973545,0.0009486469850877623,-0.0028389025997367368,0.013967042192162923,0.005475145980826823,46.5440456867218
sasrec,4,0.04057577970167936,0.02240623823447217,0.016935714865202713,0.0016425913067119324,0.018536224510681102,0.0026215840448308367,0.01794890739590572,0.0014415970410254497,0.0016425913067119324,0.0015389840660818346,0.006803888114728068,-0.008220157785483559,-0.0006282397850897146,-0.0032905996110249858,0.0026215840448308367,-0.0003660341263484017,-0.002877817405029806,0.012052210323940854,0.004508048834344754,309.4027717113495
sasrec_fair_lam0.0,4,0.04057577970167936,0.02240623823447217,0.016935714865202713,0.0016425913067119324,0.018536224510681102,0.0026215840448308367,0.01794890739590572,0.0014415970410254497,0.0016425913067119324,0.0015389840660818346,0.006803888114728068,-0.008220157785483559,-0.0006282397850897146,-0.0032905996110249858,0.0026215840448308367,-0.0003660341263484017,-0.002877817405029806,0.012052210323940854,0.004508048834344754,309.4027717113495
